,dataset_id,f1_macro_mean_over_runs,f1_macro_std_dev_over_runs,runs,n_runs,pipeline_id
0,LL0_1121_badges2_dataset,1.0,0.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",11,abadf5e9-954c-44cc-a587-604ced0f9b9c
1,LL0_1121_badges2_dataset,0.9989072113125484,0.0036243700514216274,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9879793244380334, 1.0, 1.0, 1.0, 1.0]",11,ab777681-80e0-4199-8ff2-e6affdde3b7a
2,LL0_1121_badges2_dataset,1.0,0.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",11,7ada27c3-d8ff-4ce1-84f7-a897d5fc7009
3,LL0_1121_badges2_dataset,1.0,0.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",11,80c54e07-691c-42b5-9ce8-2ec36cc783ba
4,LL0_1121_badges2_dataset,1.0,0.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",11,11eaeb2a-28ee-422b-9090-112b6c4e04ff
5,LL0_1121_badges2_dataset,1.0,0.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",11,110e7a76-4026-4c8e-99d5-6aa61424ff24
6,LL0_1121_badges2_dataset,0.9910775030392255,0.005730577432179077,"[1.0, 0.987731566678935, 0.987731566678935, 0.987731566678935, 0.987731566678935, 1.0, 0.987731566678935, 0.987731566678935, 0.987731566678935, 0.987731566678935, 1.0]",11,d7349f11-6426-4e8b-b6b3-dffd419ca4f9
7,LL0_1121_badges2_dataset,1.0,0.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",11,2b50fc6b-da3f-478f-bea7-1e7854c24786
8,LL0_1121_badges2_dataset,0.9899621909191286,0.0049628256346208755,"[0.987731566678935, 0.987731566678935, 1.0, 0.987731566678935, 0.987731566678935, 0.987731566678935, 0.987731566678935, 1.0, 0.987731566678935, 0.987731566678935, 0.987731566678935]",11,711c74f7-88c3-4716-87b2-abdb3cad3778
9,LL0_1121_badges2_dataset,0.9977693757598064,0.004962825634620873,"[0.987731566678935, 0.987731566678935, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",11,9d11ac8a-cbb8-414c-a3f9-879b1cc82110
10,LL0_1121_badges2_dataset,1.0,0.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",11,ff3ea16f-b2b5-46be-b749-096a52f849b8
11,LL0_1121_badges2_dataset,0.9988846878799031,0.00369907182649691,"[1.0, 0.987731566678935, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",11,7f94cf13-f989-4caa-8c46-a8f28ad96752
12,LL0_1121_badges2_dataset,0.9966540636397095,0.005730577432179084,"[1.0, 1.0, 1.0, 1.0, 0.987731566678935, 0.987731566678935, 1.0, 1.0, 1.0, 0.987731566678935, 1.0]",11,b0d532df-5165-40a4-9f31-2235eaa51f0a
13,LL0_1121_badges2_dataset,1.0,0.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",11,9a75dde1-66ac-4099-a1e2-0b8dd7b6e52c
